curr_num: 467, symbol: *
curr_num: 35, symbol: *
curr_num: 633, symbol: #
curr_num: 617, symbol: *
curr_num: 592, symbol: +
curr_num: 755, symbol: *
curr_num: 664, symbol: $
curr_num: 598, symbol: *
Part 1 example: 4361
curr_num: 936, symbol: %
curr_num: 846, symbol: *
curr_num: 922, symbol: *
curr_num: 359, symbol: *
curr_num: 332, symbol: *
curr_num: 582, symbol: #
curr_num: 740, symbol: *
curr_num: 243, symbol: *
curr_num: 156, symbol: *
curr_num: 4, symbol: =
curr_num: 806, symbol: *
curr_num: 481, symbol: *
curr_num: 900, symbol: *
curr_num: 564, symbol: $
curr_num: 520, symbol: $
curr_num: 624, symbol: *
curr_num: 965, symbol: *
curr_num: 143, symbol: *
curr_num: 405, symbol: *
curr_num: 960, symbol: *
curr_num: 273, symbol: *
curr_num: 651, symbol: &
curr_num: 139, symbol: @
curr_num: 38, symbol: *
curr_num: 58, symbol: *
curr_num: 392, symbol: *
curr_num: 634, symbol: *
curr_num: 3, symbol: *
curr_num: 310, symbol: *
curr_num: 313, symbol: *
curr_num: 196, symbol: *
curr_num: 544, symbol: *
curr_num: 541, symbol: *
curr_num: 775, symbol: *
curr_num: 216, symbol: *
curr_num: 557, symbol: +
curr_num: 225, symbol: /
curr_num: 463, symbol: *
curr_num: 517, symbol: /
curr_num: 228, symbol: -
curr_num: 452, symbol: *
curr_num: 593, symbol: *
curr_num: 772, symbol: *
curr_num: 654, symbol: $
curr_num: 638, symbol: *
curr_num: 163, symbol: =
curr_num: 386, symbol: #
curr_num: 20, symbol: *
curr_num: 566, symbol: *
curr_num: 20, symbol: *
curr_num: 132, symbol: *
curr_num: 969, symbol: *
curr_num: 747, symbol: *
curr_num: 971, symbol: *
curr_num: 245, symbol: *
curr_num: 205, symbol: %
curr_num: 716, symbol: *
curr_num: 855, symbol: *
curr_num: 324, symbol: #
curr_num: 871, symbol: *
curr_num: 752, symbol: +
curr_num: 291, symbol: +
curr_num: 47, symbol: *
curr_num: 390, symbol: +
curr_num: 128, symbol: *
curr_num: 528, symbol: #
curr_num: 91, symbol: *
curr_num: 192, symbol: *
curr_num: 852, symbol: *
curr_num: 156, symbol: *
curr_num: 322, symbol: %
curr_num: 63, symbol: &
curr_num: 946, symbol: =
curr_num: 462, symbol: =
curr_num: 939, symbol: *
curr_num: 520, symbol: *
curr_num: 268, symbol: %
curr_num: 380, symbol: *
curr_num: 55, symbol: *
curr_num: 871, symbol: =
curr_num: 68, symbol: *
curr_num: 491, symbol: *
curr_num: 674, symbol: *
curr_num: 770, symbol: #
curr_num: 333, symbol: *
curr_num: 415, symbol: *
curr_num: 275, symbol: *
curr_num: 633, symbol: =
curr_num: 642, symbol: /
curr_num: 5, symbol: /
curr_num: 739, symbol: *
curr_num: 632, symbol: &
curr_num: 992, symbol: *
curr_num: 858, symbol: *
curr_num: 998, symbol: *
curr_num: 761, symbol: *
curr_num: 180, symbol: @
curr_num: 83, symbol: +
curr_num: 924, symbol: *
curr_num: 379, symbol: *
curr_num: 118, symbol: *
curr_num: 488, symbol: *
curr_num: 240, symbol: *
curr_num: 150, symbol: /
curr_num: 958, symbol: &
curr_num: 964, symbol: *
curr_num: 351, symbol: @
curr_num: 633, symbol: #
curr_num: 123, symbol: /
curr_num: 603, symbol: /
curr_num: 546, symbol: -
curr_num: 674, symbol: *
curr_num: 466, symbol: $
curr_num: 602, symbol: &
curr_num: 956, symbol: +
curr_num: 503, symbol: =
curr_num: 465, symbol: *
curr_num: 583, symbol: *
curr_num: 128, symbol: %
curr_num: 124, symbol: *
curr_num: 32, symbol: $
curr_num: 53, symbol: #
curr_num: 594, symbol: &
curr_num: 648, symbol: *
curr_num: 827, symbol: *
curr_num: 994, symbol: $
curr_num: 971, symbol: @
curr_num: 304, symbol: *
curr_num: 387, symbol: $
curr_num: 80, symbol: *
curr_num: 756, symbol: *
curr_num: 888, symbol: *
curr_num: 339, symbol: +
curr_num: 868, symbol: *
curr_num: 851, symbol: *
curr_num: 905, symbol: -
curr_num: 312, symbol: *
curr_num: 729, symbol: *
curr_num: 356, symbol: *
curr_num: 697, symbol: *
curr_num: 736, symbol: *
curr_num: 748, symbol: +
curr_num: 41, symbol: *
curr_num: 272, symbol: *
curr_num: 753, symbol: *
curr_num: 604, symbol: &
curr_num: 915, symbol: %
curr_num: 529, symbol: +
curr_num: 889, symbol: *
curr_num: 992, symbol: @
curr_num: 272, symbol: *
curr_num: 487, symbol: *
curr_num: 961, symbol: *
curr_num: 632, symbol: *
curr_num: 502, symbol: *
curr_num: 118, symbol: *
curr_num: 141, symbol: *
curr_num: 546, symbol: *
curr_num: 669, symbol: *
curr_num: 85, symbol: +
curr_num: 330, symbol: *
curr_num: 374, symbol: *
curr_num: 446, symbol: *
curr_num: 120, symbol: *
curr_num: 919, symbol: &
curr_num: 339, symbol: /
curr_num: 663, symbol: *
curr_num: 403, symbol: -
curr_num: 167, symbol: *
curr_num: 170, symbol: *
curr_num: 698, symbol: *
curr_num: 587, symbol: *
curr_num: 279, symbol: %
curr_num: 776, symbol: *
curr_num: 575, symbol: -
curr_num: 34, symbol: /
curr_num: 19, symbol: *
curr_num: 804, symbol: *
curr_num: 730, symbol: *
curr_num: 789, symbol: *
curr_num: 803, symbol: *
curr_num: 25, symbol: +
curr_num: 375, symbol: *
curr_num: 773, symbol: *
curr_num: 876, symbol: /
curr_num: 287, symbol: *
curr_num: 201, symbol: *
curr_num: 484, symbol: *
curr_num: 196, symbol: *
curr_num: 23, symbol: *
curr_num: 477, symbol: +
curr_num: 455, symbol: *
curr_num: 794, symbol: *
curr_num: 996, symbol: $
curr_num: 887, symbol: %
curr_num: 959, symbol: *
curr_num: 146, symbol: *
curr_num: 496, symbol: *
curr_num: 790, symbol: *
curr_num: 648, symbol: *
curr_num: 325, symbol: *
curr_num: 738, symbol: *
curr_num: 156, symbol: *
curr_num: 534, symbol: *
curr_num: 941, symbol: *
curr_num: 536, symbol: %
curr_num: 511, symbol: *
curr_num: 166, symbol: *
curr_num: 647, symbol: *
curr_num: 262, symbol: /
curr_num: 887, symbol: *
curr_num: 210, symbol: *
curr_num: 3, symbol: *
curr_num: 860, symbol: *
curr_num: 161, symbol: *
curr_num: 4, symbol: *
curr_num: 420, symbol: *
curr_num: 141, symbol: *
curr_num: 606, symbol: *
curr_num: 193, symbol: *
curr_num: 111, symbol: *
curr_num: 252, symbol: *
curr_num: 935, symbol: *
curr_num: 689, symbol: *
curr_num: 500, symbol: -
curr_num: 959, symbol: *
curr_num: 834, symbol: @
curr_num: 542, symbol: *
curr_num: 770, symbol: *
curr_num: 8, symbol: *
curr_num: 896, symbol: =
curr_num: 93, symbol: %
curr_num: 244, symbol: *
curr_num: 247, symbol: +
curr_num: 735, symbol: -
curr_num: 497, symbol: #
curr_num: 200, symbol: @
curr_num: 342, symbol: *
curr_num: 613, symbol: *
curr_num: 245, symbol: *
curr_num: 176, symbol: %
curr_num: 51, symbol: *
